;MODULO;ACCIONES;RESPUESTA;RECOMENDACIONES;ANEXOS;FORTALECIMIENTOS;Columna1
10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.;Sí - Intermedio;Implementen un sistema de seguimiento al uso y efectividad de los formatos disponibles, evaluando su nivel de accesibilidad frente a las necesidades reales de los grupos poblacionales del territorio. Para ello, pueden aplicar encuestas de satisfacción, recoger retroalimentación directa o realizar ejercicios de observación con públicos diversos. Con base en estos insumos, propongan mejoras continuas y mantengan los formatos actualizados, asegurando que respondan tanto a los cambios normativos como a las transformaciones en el contexto institucional y social.;;;
10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.;Sí - Avanzado;Realicen un diagnóstico comparativo frente a los formatos actualmente en uso. Lleve a cabo pruebas de usuario con distintos perfiles poblacionales o implemente procesos de validación participativa. A partir de esta revisión, construyan una ruta o plan de trabajo para su adecuación progresiva, priorizando aquellos de mayor uso o impacto en el acceso a información ambiental. ;;;
10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.;No;¡ALERTA! Parte de su población no tiene acceso a información ambiental. Diseñe formatos alternativos, accesibles y comprensibles que faciliten el acceso a la información ambiental y a los servicios institucionales, en cumplimiento de la Ley 1712 de 2024, la Resolución 1519 de 2020 (anexo técnico 1), el Acuerdo de Escazú, la Ley 1346 de 2009 y los principios de accesibilidad universal.;;;
10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;10. Contamos con formatos alternativos, accesibles y comprensibles para que la ciudadanía pueda acceder a la información ambiental y servicios de manera efectiva, incluyendo a la población en situación de vulnerabilidad.;No aplica;¡ALERTA! es un compromiso con el acceso a la información pública garantizar el acceso equitativo a la información ambiental a todas las poblaciones de su territorio. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad. ; VER ANEXO XX;;
11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.Sí - Básico;Módulo 1: Transparencia y Acceso a la Información Ambiental;11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.;Sí - Básico;Elaboren y adopten mediante acto administrativo una tabla de costos de reproducción de la información pública, en la que se detalle de forma clara y comprensible el valor unitario por tipo de formato (impreso, digital, audiovisual, entre otros). Asegúrense de que estos valores sean razonables, estén sustentados técnicamente y no generen barreras económicas al acceso a la información ambiental. Publiquen esta información en un lugar visible de la página web institucional y en los canales de atención a la ciudadanía, promoviendo la transparencia activa.;;MODELO TABLA DE COSTOS DE REPRODUCCIÓN;
11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.Sí - Intermedio;Módulo 1: Transparencia y Acceso a la Información Ambiental;11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.;Sí - Intermedio;Realicen un análisis de costos realista que incluya factores como tipo de soporte, insumos y tiempos de procesamiento. Publique las actualizaciones en un lenguaje claro y en formatos accesibles, Revise y actualice periódicamente el acto administrativo que fija los costos de reproducción, asegurando que los valores estén alineados con la normatividad vigente (Ley 1712 de 2014, Resolución 1519 de 2020, Acuerdo de Escazú).;;;
11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.Sí - Avanzado;Módulo 1: Transparencia y Acceso a la Información Ambiental;11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.;Sí - Avanzado;Realicen una revisión anual de estos costos en la que puedan participar actores clave del territorio, como organizaciones sociales, veedurías y ciudadanía interesada. Esta revisión participativa permite ajustar los valores a la realidad institucional y social. Mantengan disponibles y fácilmente consultables los costos de reproducción de la información pública, incluyendo la versión vigente del acto administrativo que los respalda.;;;
11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.No;Módulo 1: Transparencia y Acceso a la Información Ambiental;11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.;No;¡ALERTA! Revisen los lineamientos establecidos en el artículo 26 de la Ley 1712 de 2014, la Resolución 1519 de 2020 y el Acuerdo de Escazú, y establezca una política institucional de costos de reproducción que asegure su razonabilidad, transparencia y coherencia con el principio de no discriminación. Implementen criterios diferenciales para personas o grupos en condición de vulnerabilidad. Esta política puede quedar consolidada en un protocolo interno, acompañado de un instructivo claro para su aplicación.;;;
11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.No aplica;Módulo 1: Transparencia y Acceso a la Información Ambiental;11. Hemos definido costos asociados con la entrega de información ambiental razonables y transparentes.;No aplica;¡ALERTA! Para ejercer su derecho de acceso a la información pública, la ciudadanía debe conocer los costos asociados con la entrega de información ambiental. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX ;;
12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).;Sí - Básico;Diseñen un plan de divulgación trimestral que establezca claramente los responsables de la comunicación, identifique los medios disponibles (como carteleras comunitarias, boletines informativos, redes sociales institucionales o emisoras locales) y propongan un cronograma mínimo para garantizar una difusión continua. Prioricen contenidos clave relacionados con el derecho al acceso a la información ambiental. ;;MODELO PLAN DE DIVULGACIÓN ;
12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).Sí - Intermedio;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).;Sí - Intermedio;Fortalezcan la estrategia de comunicación mediante la estandarización de los mensajes institucionales y la calendarización de las acciones de divulgación, procurando que la información llegue de manera oportuna y comprensible a todos los grupos poblacionales del territorio. Para ello, podrían combinarse medios digitales (página web, redes sociales, correo electrónico) y físicos (boletines impresos, perifoneo, encuentros comunitarios), adaptando el lenguaje y los formatos según las características socioculturales de cada población.;;;
12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).Sí - Avanzado;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).;Sí - Avanzado;Implementen mecanismos accesibles de retroalimentación ciudadana, como encuestas breves, buzones de opinión, grupos focales o consultas virtuales, que permitan evaluar si la información ambiental difundida está siendo comprendida y resulta útil para la ciudadanía. A partir de estos insumos, realicen ajustes periódicos a la estrategia de comunicación, mejorando el diseño de los contenidos y su pertinencia territorial.;;;
12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).No;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).;No;¡ALERTA! Diseñen un plan de divulgación que establezca claramente con qué periodicidad pueden realizar estas campañas,  los responsables de la comunicación, identifiquen los medios disponibles (como carteleras comunitarias, boletines informativos, redes sociales institucionales o emisoras locales) y propongan un cronograma mínimo para garantizar una difusión continua. Prioricen contenidos clave relacionados con el derecho al acceso a la información ambiental.;;;
12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).No aplica;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;12. Informamos a nuestra ciudadanía de manera trimestral sobre su derecho al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación).;No aplica;¡ALERTA! Es un derecho de la ciudadanía conocer sobre sus derechos al acceso de la información ambiental (por medios físicos, remotos y locales de comunicación). Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX ;;
13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.;Sí - Básico;Implementen un sistema básico de registro que les permita iniciar la recolección estructurada de datos sobre emisiones y transferencias de contaminantes. Establezcan un formato estándar para los reportes internos, de modo que comiencen a fortalecer sus procesos de documentación y seguimiento.;;¿qué es un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo?;
13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.Sí - Intermedio;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.;Sí - Intermedio;Desarrollen un mecanismo que les permita consolidar y sistematizar los datos que ya tengan disponibles, y que establezcan procedimientos periódicos de actualización y validación. ;;;
13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.Sí - Avanzado;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.;Sí - Avanzado;Amplíen la interoperabilidad de su sistema de registro con otras bases de datos ambientales, tanto internas como externas. Aseguren el cumplimiento de estándares de calidad de datos y fortalezcan las capacidades técnicas del personal mediante procesos formativos continuos.;;;
13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.No;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.;No;¡ALERTA! Implementen un sistema básico de registro actualizado de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo, de acuerdo con los lineamientos del RUA, el PRTR Colombia y la normativa vigente. Esto contribuiría significativamente al cumplimiento del artículo 6 del Acuerdo de Escazú y al fortalecimiento del derecho al acceso a la información ambiental.; (VER ANEXO XXX);;
13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.No aplica;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;13. Tenemos un registro de emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo bajo su jurisdicción conforme a la normatividad aplicable.;No aplica;¡ALERTA! Es un derecho de la ciudadanía conocer sobre emisiones y transferencias de contaminantes al aire, agua, suelo y subsuelo en su territorio. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ; (VER ANEXO XXX);;
14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.;Sí - Básico;Diseñen o implementen un protocolo básico que les permita actuar con agilidad ante una emergencia ambiental. Este protocolo debería establecer quién comunica qué, por qué canal y en cuánto tiempo. Incluyan medios digitales, físicos y comunitarios, y realicen una versión de fácil consulta para la ciudadanía.; (VER ANEXO XX);COMO SE HACE UN PROTOCOLO DE EMERGENCIA;
14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.Sí - Intermedio;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.;Sí - Intermedio;Conformen un comité interinstitucional de respuesta rápida para coordinar acciones de divulgación inmediata, reduciendo tiempos y evitando duplicidades de información.;;;
14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.Sí - Avanzado;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.;Sí - Avanzado;Capaciten de forma periódica al personal encargado de la comunicación en contextos de emergencia, incluyendo simulacros y ejercicios prácticos. Asimismo, Implementen encuestas o espacios participativos para recoger percepciones ciudadanas y ajustar sus estrategias comunicativas de forma proactiva.;;;
14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.No;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.;No;¡ALERTA! En cumplimiento con el principio de precaución, el artículo 8 de la Ley 99 de 1993 y los compromisos del artículo 6 del Acuerdo de Escazú deben establecer un protocolo para la divulgación inmediata de información ante una amenaza inminente a la salud pública o al ambiente, . Este protocolo puede incluir la activación de alertas tempranas a través de medios comunitarios, redes sociales institucionales, mensajes de texto masivos, radios locales y carteleras físicas en zonas afectadas. También es clave capacitar al personal responsable y articularse con los comités de gestión del riesgo y autoridades ambientales para asegurar una respuesta rápida, coordinada y efectiva.;;;
14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.No aplica;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;14. Garantizamos la divulgación inmediata de información en caso de una amenaza inminente a la salud pública o al medio ambiente.;No aplica;¡ALERTA! En cumplimiento con el principio de precaución, el artículo 8 de la Ley 99 de 1993 y los compromisos del artículo 6 del Acuerdo de Escazú deben establecer un protocolo para la divulgación inmediata de información ante una amenaza inminente a la salud pública o al ambiente. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad. ; VER ANEXO XX. ;Revise en la normatividad vigente si en realidad esto no le aplica a su entidad y en la siguiente casilla justifique su elección con base en el criterio jurídico de su entidad.;
15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).;Sí - Básico;Desarrollen espacios prácticos y pedagógicos que permitan a los equipos comprender no solo cómo funcionan VITAL, SIAC y RUA sino también su impacto en la toma de decisiones, la planificación y la rendición de cuentas. Incorporen ejercicios aplicados, estudios de caso y materiales gráficos sencillos que faciliten el aprendizaje.;;;
15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).Sí - Intermedio;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).;Sí - Intermedio;Determinen un cronograma insitucional con responsables definidos para la carga periódica de información, que incluya un protocolo básico de validación de datos antes del envío y actualización oportuna de los sistemas de información ambiental VITAL, SIAC y RUA.;VER ANEXO XXX;MODELO DE cronograma insitucional con responsables definidos para la carga periódica de información, que incluya un protocolo básico de validación de datos antes del envío.;
15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).Sí - Avanzado;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).;Sí - Avanzado;Revisen y actualicen los procedimientos internos asociados a la gestión de información para mejorar la calidad de los datos cargados, asegurando la retroalimentación con los equipos técnicos y fortaleciendo la rendición de cuentas sobre los reportes generados. Fortalezcan el uso y la actualización oportuna de los sistemas de información ambiental como VITAL, SIAC y RUA.;;;
15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).No;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).;No;¡ALERTA! Fortalezcan el uso y la actualización oportuna de los sistemas de información ambiental como VITAL, SIAC y RUA, asegurando la carga regular de datos conforme a la normativa vigente. Esto mejora la gestión ambiental, facilita la toma de decisiones basada en evidencia y contribuye al cumplimiento de los principios de transparencia y acceso a la información establecidos en el Acuerdo de Escazú. Capacite al personal técnico y designe responsables para garantizar el funcionamiento continuo de estos sistemas.;;;
15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).No aplica;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;15. Nuestra entidad usa y carga información  de los sistemas de información ambiental  (VITAL, SIAC, RUA).;No aplica;¡ALERTA! Los sisitema de información ambiental mejoran la toma de decisiones y la transparencia. La falla de actualización obscurece la gestión y no permite comunicar la riqueza de los avances del sector a la ciudadanía. Pidan un concepto al área juridica para asegurar que su entidad no es responsable de la subida de información a VITAL, SIAC y RUA,.;VER ANEXO XX. ;;
16. Nuestros datos ambientales siempre están disponibles en formatos editables.Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;16. Nuestros datos ambientales siempre están disponibles en formatos editables.;Sí - Básico;"Conviertan los documentos en formatos cerrados, como PDF, a formatos abiertos y editables, como WORD XLS o CSV, priorizando aquellos de mayor interés ciudadano; para ello, identifiquen los archivos más consultados en la web o solicitados por derecho de petición y utilicen herramientas básicas de conversión disponibles en programas de ofimática.";;;
16. Nuestros datos ambientales siempre están disponibles en formatos editables.Sí - Intermedio;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;16. Nuestros datos ambientales siempre están disponibles en formatos editables.;Sí - Intermedio;"Realicen un inventario de los conjuntos de datos disponibles y definan un plan gradual de apertura, comenzando con los datos más relevantes para la gestión ambiental; organicen esta tarea en una hoja de cálculo simple, asignando responsables y fechas de actualización para cada conjunto.";;;
16. Nuestros datos ambientales siempre están disponibles en formatos editables.Sí - Avanzado;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;16. Nuestros datos ambientales siempre están disponibles en formatos editables.;Sí - Avanzado;"Mejoren la documentación de los datos asegurando que cada conjunto incluya metadatos básicos como fecha de publicación, responsable, unidad de medida y fuente; para ello, creen una plantilla estándar que facilite la sistematización y revisión periódica por parte del equipo técnico.";;;
16. Nuestros datos ambientales siempre están disponibles en formatos editables.No;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;16. Nuestros datos ambientales siempre están disponibles en formatos editables.;No;"¡ALERTA! Adopten la práctica de publicar los datos ambientales en formatos abiertos directamente en su página web y plataformas públicas como datos.gov.co, asegurando que sean fáciles de descargar y entender; incluyan una sección específica en el sitio institucional, habiliten alertas de actualización y elaboren guías breves o infografías que expliquen el uso de los datos para facilitar su comprensión por parte de la ciudadanía.";MÍNIMOS PARA LA APERTURA DE DATOS.  VER ANEXO XX;;
16. Nuestros datos ambientales siempre están disponibles en formatos editables.No aplica;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;16. Nuestros datos ambientales siempre están disponibles en formatos editables.;No aplica;¡ALERTA! Es un compromiso del país con la Alianza para el Gobierno Abierto tener datos ambientales disponibles en formatos editables para su uso en el control social, la investigación académica y la veeduría. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad.  ;VER ANEXO XX. ;;
17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.;Sí - Básico;Inicien con un diagnóstico ambiental básico que identifique los principales impactos y les permita formular un plan estructurado con metas y acciones prioritarias. Establezcan un cronograma con responsables, plazos e indicadores, apoyado en una matriz de actividades y una hoja de control que facilite el seguimiento, los ajustes y la divulgación progresiva de los resultados a la ciudadanía.;;;
17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.Sí - Intermedio;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.;Sí - Intermedio;"Fortalezcan el seguimiento del plan de desempeño ambiental, asignen responsabilidades específicas por área, definan los indicadores de medición y programen rutinas periódicas de evaluación; para ello, pueden apoyarse en una plantilla simple que consolide las acciones, responsables y tiempos, y utilizar herramientas digitales como calendarios compartidos o tableros de seguimiento que faciliten el control y la mejora continua.";qué es el desempeño ambiental?;;
17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.Sí - Avanzado;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.;Sí - Avanzado;"Fortalezcan los canales de comunicación con la ciudadanía para divulgar los resultados ambientales de manera accesible y comprensible; para ello, pueden utilizar boletines digitales, resúmenes visuales en lenguaje claro, sesiones informativas y mecanismos de retroalimentación que permitan adaptar los mensajes según las necesidades del público.";;;
17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.No;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.;No;¡ALERTA! Elaboren un diagnóstico ambiental básico que identifique los principales impactos de su gestión y formulen un plan estructurado y documentado con metas, indicadores y acciones prioritarias para mitigar impactos y mejorar su desempeño ambiental. Aseguren el seguimiento mediante herramientas de control, y divulguen los resultados de forma accesible a la ciudadanía, en coherencia con la normativa vigente y promoviendo la transparencia y la participación.;diagnóstico ambiental básico. VER ANEXO XX;;
17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.No aplica;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;17. Medimos nuestro desempeño ambiental, implementamos un plan estructurado y documentado para mitigar impactos y promover mejoras, y divulgamos los resultados a la ciudadanía.;No aplica;¡ALERTA! Es muy dificil mejorar o mitigar riesgos si no mido mi desempeño ambiental. Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad. ; VER ANEXO XX. ;;
18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).;Sí - Básico;"Diseñen un plan básico de publicación periódica, preferiblemente mensual, que incluya un formato estándar por tipo de documento (concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros), de modo que exista un punto de partida claro, accesible y replicable; para ello, pueden estructurar una matriz sencilla que defina el tipo de información, responsable de carga y fecha de publicación.";;;
18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).Sí - Intermedio;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).;Sí - Intermedio;"Implementen mecanismos de trazabilidad que permitan hacer seguimiento a cada documento publicado (concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros), mediante la creación de fichas técnicas con metadatos básicos (fecha, fuente, tipo de decisión, responsable) y cronogramas visibles de publicación; además, completen los registros faltantes para brindar un panorama coherente, verificable y útil para la ciudadanía.";;;
18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).Sí - Avanzado;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).;Sí - Avanzado;"Incorporen auditorías internas periódicas, al menos una vez por semestre, donde se revise la vigencia e integridad de la información publicada, identifiquen oportunidades de mejora y verifiquen su interoperabilidad con otras plataformas públicas o territoriales; pueden crear un equipo o designar un responsable para liderar esta tarea y generar un informe breve de hallazgos y recomendaciones.";;;
18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).No;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).;No;¡ALERTA! Aseguren que la información relacionada con los procesos de toma de decisiones ambientales, como concesiones, licencias, permisos, contratos, convenios y autorizaciones, sea publicada de forma accesible, completa y en formatos abiertos, incluyendo criterios de evaluación, responsables, decisiones tomadas e impactos ambientales considerados.  Esta acción contribuye a garantizar la transparencia, el acceso a la información y la participación ciudadana, en cumplimiento con los principios del artículo 6 del Acuerdo de Escazú y la Ley 1712 de 2014.;;;
18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).No aplica;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;18. Publicamos información completa sobre los procesos de toma de decisiones ambientales ( concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros).;No aplica;¡ALERTA! El acceso a la información ambiental incluyendo información completa sobre los procesos de toma de decisiones ambientales (concesiones, licencias, permisos, contratos, convenios o autorizaciones , entre otros) es un derecho de los ciudadanos . Pidan un concepto al área juridica para asegurar que en realidad esto no aplica a su entidad. ; VER ANEXO XX. ;;
19. Tenemos una estrategia dirigida a privados, presentes en mi territorio, para que publiquen información ambiental.Sí - Básico;Módulo 2: Participación Ciudadana, Control Social y Toma de Decisiones Ambientales;19. Tenemos una estrategia dirigida a privados, presentes en mi territorio, para que publiquen información ambiental.;Sí - Básico;Formalicen los lineamientos actuales en un documento guía o protocolo interno que oriente cómo involucrar al sector privado en la publicación de información ambiental, y desarrollen al menos una acción piloto, como una mesa de trabajo, convenio o ejercicio de co-publicación, para poner a prueba y ajustar lo definido en el documento.;;;
